Districts,Year,Flood_Frequency,Mean_Duration,Human_fatality,Human_injured,Population,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio,Flood_Risk_Index,Area_Exposure
Adilabad,1983,1,4,174,0,802880,0.988714607,0.00021672,4.000866879,7938.191837
Adilabad,1987,1,1,174,0,802880,0.988714607,0.00021672,1.00021672,7938.191837
Adilabad,2022,1,1,174,0,802880,0.988714607,0.00021672,1.00021672,7938.191837
Adilabad,1996,1,3,125,14,2010685,0.908345993,5.74E-05,3.000172126,18263.97663
Ananthapuramuamu,1996,1,3,125,14,2010685,0.908345993,5.74E-05,3.000172126,18263.97663
East Godavari,1996,1,3,125,14,2010685,0.908345993,5.74E-05,3.000172126,18263.97663
Guntur,1996,1,3,125,14,2010685,0.908345993,5.74E-05,3.000172126,18263.97663
Kurnool,1996,1,3,125,14,2010685,0.908345993,5.74E-05,3.000172126,18263.97663
Medak,1996,1,3,125,14,2010685,0.908345993,5.74E-05,3.000172126,18263.97663
Sri Potti Sriramulu Nellore,1996,1,3,125,14,2010685,0.908345993,5.74E-05,3.000172126,18263.97663
Nizamabad,1996,1,3,125,14,2010685,0.908345993,5.74E-05,3.000172126,18263.97663
Prakasam,1996,1,3,125,14,2010685,0.908345993,5.74E-05,3.000172126,18263.97663
Visakhapatnam,1996,1,3,125,14,2010685,0.908345993,5.74E-05,3.000172126,18263.97663
Vizianagaram,1996,1,3,125,14,2010685,0.908345993,5.74E-05,3.000172126,18263.97663
Hyderabad,1996,1,31,125,14,2010685,0.908345993,5.74E-05,31.00177863,18263.97663
Krishna,1996,1,31,125,14,2010685,0.908345993,5.74E-05,31.00177863,18263.97663
East Godavari,1983,1,7,125,14,2010685,0.908345993,5.74E-05,7.000401627,18263.97663
Karimnagar,1983,1,7,125,14,2010685,0.908345993,5.74E-05,7.000401627,18263.97663
Khammam,1983,1,7,125,14,2010685,0.908345993,5.74E-05,7.000401627,18263.97663
Krishna,1983,1,7,125,14,2010685,0.908345993,5.74E-05,7.000401627,18263.97663
Medak,1983,1,7,125,14,2010685,0.908345993,5.74E-05,7.000401627,18263.97663
Nalgonda,1983,1,7,125,14,2010685,0.908345993,5.74E-05,7.000401627,18263.97663
Srikakulam,1983,1,7,125,14,2010685,0.908345993,5.74E-05,7.000401627,18263.97663
Vizianagaram,1983,1,7,125,14,2010685,0.908345993,5.74E-05,7.000401627,18263.97663
Visakhapatnam,1983,1,7,125,14,2010685,0.908345993,5.74E-05,7.000401627,18263.97663
Warangal,1983,1,7,125,14,2010685,0.908345993,5.74E-05,7.000401627,18263.97663
West Godavari,1983,1,7,125,14,2010685,0.908345993,5.74E-05,7.000401627,18263.97663
Adilabad,2006,1,7,125,14,2010685,0.908345993,5.74E-05,7.000401627,18263.97663
East Godavari,2006,1,7,125,14,2010685,0.908345993,5.74E-05,7.000401627,18263.97663
Karimnagar,2006,1,7,125,14,2010685,0.908345993,5.74E-05,7.000401627,18263.97663
Khammam,2006,1,7,125,14,2010685,0.908345993,5.74E-05,7.000401627,18263.97663
Warangal,2006,1,7,125,14,2010685,0.908345993,5.74E-05,7.000401627,18263.97663
West Godavari,2006,1,7,125,14,2010685,0.908345993,5.74E-05,7.000401627,18263.97663
Adilabad,1990,1,31,125,14,2010685,0.908345993,5.74E-05,31.00177863,18263.97663
East Godavari,1990,1,31,125,14,2010685,0.908345993,5.74E-05,31.00177863,18263.97663
Khammam,1990,1,31,125,14,2010685,0.908345993,5.74E-05,31.00177863,18263.97663
Medak,1990,1,31,125,14,2010685,0.908345993,5.74E-05,31.00177863,18263.97663
Nizamabad,1990,1,31,125,14,2010685,0.908345993,5.74E-05,31.00177863,18263.97663
West Godavari,1990,1,31,125,14,2010685,0.908345993,5.74E-05,31.00177863,18263.97663
Adilabad,1988,1,38,125,14,2010685,0.908345993,5.74E-05,38.00218026,18263.97663
East,1988,1,38,125,14,2010685,0.908345993,5.74E-05,38.00218026,18263.97663
West Godavari,1988,1,38,125,14,2010685,0.908345993,5.74E-05,38.00218026,18263.97663
Guntur,1988,1,38,125,14,2010685,0.908345993,5.74E-05,38.00218026,18263.97663
Karimnagar,1988,1,38,125,14,2010685,0.908345993,5.74E-05,38.00218026,18263.97663
Khammam,1988,1,38,125,14,2010685,0.908345993,5.74E-05,38.00218026,18263.97663
Krishna,1988,1,38,125,14,2010685,0.908345993,5.74E-05,38.00218026,18263.97663
Mahabubnagar,1988,1,38,125,14,2010685,0.908345993,5.74E-05,38.00218026,18263.97663
Warangal,1988,1,38,125,14,2010685,0.908345993,5.74E-05,38.00218026,18263.97663
Adilabad,2000,1,4,125,14,2010685,0.908345993,5.74E-05,4.000229501,18263.97663
Hyderabad,2000,1,4,125,14,2010685,0.908345993,5.74E-05,4.000229501,18263.97663
Khammam,2000,1,4,125,14,2010685,0.908345993,5.74E-05,4.000229501,18263.97663
Kurnool,2000,1,4,125,14,2010685,0.908345993,5.74E-05,4.000229501,18263.97663
Mahabubnagar,2000,1,4,125,14,2010685,0.908345993,5.74E-05,4.000229501,18263.97663
Nalgonda,2000,1,4,125,14,2010685,0.908345993,5.74E-05,4.000229501,18263.97663
Warangal,2000,1,4,125,14,2010685,0.908345993,5.74E-05,4.000229501,18263.97663
Adilabad,2013,1,1,125,14,2010685,0.908345993,5.74E-05,1.000057375,18263.97663
Karimnagar,2013,1,1,125,14,2010685,0.908345993,5.74E-05,1.000057375,18263.97663
Khammam,2013,1,1,125,14,2010685,0.908345993,5.74E-05,1.000057375,18263.97663
Hyderabad,2013,1,1,125,14,2010685,0.908345993,5.74E-05,1.000057375,18263.97663
Visakhapatnam,2013,1,1,125,14,2010685,0.908345993,5.74E-05,1.000057375,18263.97663
Adilabad,2014,1,2,125,14,2010685,0.908345993,5.74E-05,2.00011475,18263.97663
Karimnagar,2014,1,2,125,14,2010685,0.908345993,5.74E-05,2.00011475,18263.97663
Khammam,2014,1,2,125,14,2010685,0.908345993,5.74E-05,2.00011475,18263.97663
Krishna,2014,1,2,125,14,2010685,0.908345993,5.74E-05,2.00011475,18263.97663
Kurnool,2014,1,2,125,14,2010685,0.908345993,5.74E-05,2.00011475,18263.97663
Medak,2014,1,2,125,14,2010685,0.908345993,5.74E-05,2.00011475,18263.97663
Mahabubnagar,2014,1,2,125,14,2010685,0.908345993,5.74E-05,2.00011475,18263.97663
Nalgonda,2014,1,2,125,14,2010685,0.908345993,5.74E-05,2.00011475,18263.97663
Nizamabad,2014,1,2,125,14,2010685,0.908345993,5.74E-05,2.00011475,18263.97663
Ranga Reddy,2014,1,2,125,14,2010685,0.908345993,5.74E-05,2.00011475,18263.97663
Warangal,2014,1,2,125,14,2010685,0.908345993,5.74E-05,2.00011475,18263.97663
West Godavari,2014,1,2,125,14,2010685,0.908345993,5.74E-05,2.00011475,18263.97663
